cat_or_group,base,dark,clinical-depression
ACME,0.7440152150046511,0.7974336091318621,0.8053830069420498
GAD-7,-0.301219773917151,-0.026500935249003394,-0.034465144429668054
PHQ-9,-0.30009647595883837,-0.025405169495456334,-0.031042296642796854
PTQ,-0.29703806506846775,-0.021848248110243162,-0.022625193376737286
SD3,0.02280087300920273,0.2297374924406862,0.23242517390547934
emotion_dysregulation,0.5594945779801255,0.6456707671005419,0.6560566691378829
experiential_avoidance,0.6808322145473716,0.7369242939088562,0.7515215076137505
goal_adjustment,0.0535289147947132,0.250275951875525,0.2578790875960773
hopelessness,0.2748210475122158,0.42642408536069754,0.42823839834370575
intolerance_uncertainty,0.5578693217957045,0.6477982348668813,0.6534220833022678
machiavellianism,0.5563844985399742,0.6482352401781729,0.6521025795626877
motivational_systems,0.8766798396530494,0.8912118253494534,0.901878751205662
narcissism,0.2966803404508085,0.4444302973907185,0.4476597914553443
negative_self_schema,0.4479762488587755,0.5602994901851907,0.5691448237369106
psychopathy,0.3300149557284451,0.47376611620226144,0.47341680219766147
rumination,0.341218620146227,0.4815940140517249,0.48069828051194113
worry,0.5579056135909318,0.6467000579098967,0.6554467077901069
