id,kind,cat_or_group,subscale,component_class,sign,is_filler,n_anchors,likert_raw,endorsement,willingness,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,7,0.12869815528392792,0.12869815528392792,,1.2347896956728643
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,7,0.133859783411026,5.866140216588974,,0.9952803703215909
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,7,0.3386427164077759,0.3386427164077759,,0.9586618838761898
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,7,0.5628349781036377,0.5628349781036377,,0.9146496345586841
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,7,0.5107041001319885,5.4892958998680115,,0.06976395177260208
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,7,0.1232396736741066,0.1232396736741066,,-1.036063834645058
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,7,0.156220942735672,5.843779057264328,,0.9667284531202995
acme_01,battery,ACME,COG,adaptive,-1.0,False,5,0.035091664642095566,3.9649083353579044,,-0.4502583920565888
acme_02,battery,ACME,DIS,pathological,-1.0,False,5,0.024799339473247528,3.9752006605267525,,-0.7766977925161571
acme_03,battery,ACME,COG,adaptive,1.0,False,5,0.024290025234222412,0.024290025234222412,,-1.3599219366630377
acme_04,battery,ACME,COG,adaptive,1.0,False,5,0.03251710534095764,0.03251710534095764,,-0.7896296855090257
acme_05,battery,ACME,DIS,pathological,-1.0,False,5,0.02721000462770462,3.9727899953722954,,-2.175634107080585
acme_06,battery,ACME,DIS,pathological,-1.0,False,5,0.036531463265419006,3.963468536734581,,-3.1989269188288674
acme_07,battery,ACME,RES,,1.0,False,5,0.04231145232915878,0.04231145232915878,,1.5343686031452044
acme_08,battery,ACME,RES,,1.0,False,5,0.03359430283308029,0.03359430283308029,,0.6450623466462604
acme_09,battery,ACME,COG,adaptive,1.0,False,5,0.039674416184425354,0.039674416184425354,,0.977011152298572
acme_10,battery,ACME,DIS,pathological,-1.0,False,5,0.038678571581840515,3.9613214284181595,,0.2827955805416449
acme_11,battery,ACME,DIS,pathological,-1.0,False,5,0.03269428014755249,3.9673057198524475,,-0.09629890527920981
acme_12,battery,ACME,RES,,-1.0,False,5,0.03738994896411896,3.962610051035881,,-0.3952983835597248
acme_13,battery,ACME,RES,,-1.0,False,5,0.025867711752653122,3.974132288247347,,-0.20402849445999038
acme_14,battery,ACME,COG,adaptive,-1.0,False,5,0.02398415096104145,3.9760158490389585,,-0.2218639456062359
acme_15,battery,ACME,COG,adaptive,1.0,False,5,0.024421922862529755,0.024421922862529755,,-1.889201334691272
acme_16,battery,ACME,COG,adaptive,1.0,False,5,0.013399915769696236,0.013399915769696236,,-0.8356360595912014
acme_17,battery,ACME,RES,,-1.0,False,5,0.02241528034210205,3.977584719657898,,-0.7541002363341249
acme_18,battery,ACME,DIS,pathological,-1.0,False,5,0.026069276034832,3.973930723965168,,-2.1790179772922196
acme_19,battery,ACME,DIS,pathological,-1.0,False,5,0.03934355825185776,3.9606564417481422,,-0.9039341842322632
acme_20,battery,ACME,DIS,pathological,-1.0,False,5,0.042936552315950394,3.9570634476840496,,1.1603089118315995
acme_21,battery,ACME,DIS,pathological,-1.0,False,5,0.01923777349293232,3.9807622265070677,,-0.6422547262832503
acme_22,battery,ACME,RES,,-1.0,False,5,0.06125261262059212,3.938747387379408,,-0.3209509948261986
acme_23,battery,ACME,RES,,1.0,False,5,0.042348090559244156,0.042348090559244156,,0.35702675907786574
acme_24,battery,ACME,RES,,-1.0,False,5,0.04743310809135437,3.9525668919086456,,-1.0248758267276932
acme_25,battery,ACME,COG,adaptive,1.0,False,5,0.01728566363453865,0.01728566363453865,,-0.46629238808710394
acme_26,battery,ACME,DIS,pathological,-1.0,False,5,0.05588676780462265,3.9441132321953773,,-1.1187899559057826
acme_27,battery,ACME,DIS,pathological,-1.0,False,5,0.05013006180524826,3.9498699381947517,,0.03680903168856231
acme_28,battery,ACME,RES,,1.0,False,5,0.03508758544921875,0.03508758544921875,,0.39345610325464553
acme_29,battery,ACME,RES,,1.0,False,5,0.03457711637020111,0.03457711637020111,,0.25236874226021566
acme_30,battery,ACME,RES,,1.0,False,5,0.021508464589715004,0.021508464589715004,,-0.21594222695549625
acme_31,battery,ACME,COG,adaptive,-1.0,False,5,0.02576041966676712,3.974239580333233,,0.0751049600000675
acme_32,battery,ACME,RES,,-1.0,False,5,0.014792089350521564,3.9852079106494784,,0.4019595664351874
acme_33,battery,ACME,COG,adaptive,1.0,False,5,0.024949369952082634,0.024949369952082634,,-0.8294214895267946
acme_34,battery,ACME,COG,adaptive,1.0,False,5,0.08511709421873093,0.08511709421873093,,0.7717606903410814
acme_35,battery,ACME,COG,adaptive,-1.0,False,5,0.044402167201042175,3.955597832798958,,-0.23629957634591925
acme_36,battery,ACME,DIS,pathological,-1.0,False,5,0.03570248559117317,3.964297514408827,,-1.0359750156825411
beaq_01,battery,experiential_avoidance,,pathological,1.0,False,5,0.031772416085004807,0.031772416085004807,,-0.7181261864038748
beaq_02,battery,experiential_avoidance,,pathological,-1.0,False,5,0.02205958403646946,3.9779404159635305,,0.3121163452024298
beaq_03,battery,experiential_avoidance,,pathological,-1.0,False,5,0.041788533329963684,3.9582114666700363,,1.5840975845423313
beaq_04,battery,experiential_avoidance,,pathological,1.0,False,5,0.049575358629226685,0.049575358629226685,,-0.5289484847328882
beaq_05,battery,experiential_avoidance,,pathological,1.0,False,5,0.011077897623181343,0.011077897623181343,,1.416195867148105
beaq_06,battery,experiential_avoidance,,pathological,-1.0,False,5,0.02625270001590252,3.9737472999840975,,0.6612254982207011
beaq_07,battery,experiential_avoidance,,pathological,-1.0,False,5,0.02696644887328148,3.9730335511267185,,0.11739723502593336
beaq_08,battery,experiential_avoidance,,pathological,-1.0,False,5,0.0296467337757349,3.970353266224265,,1.3133367956657265
beaq_09,battery,experiential_avoidance,,pathological,1.0,False,5,0.04096424579620361,0.04096424579620361,,-0.3471583480125964
beaq_10,battery,experiential_avoidance,,pathological,-1.0,False,5,0.015762807801365852,3.984237192198634,,1.2902817518883558
beaq_11,battery,experiential_avoidance,,pathological,-1.0,False,5,0.016926106065511703,3.9830738939344883,,0.028520850275925547
beaq_12,battery,experiential_avoidance,,pathological,1.0,False,5,0.022796234115958214,0.022796234115958214,,0.8914496730586265
beaq_13,battery,experiential_avoidance,,pathological,-1.0,False,5,0.021066641435027122,3.978933358564973,,-0.7696026679316015
beaq_14,battery,experiential_avoidance,,pathological,1.0,False,5,0.04022626206278801,0.04022626206278801,,1.0255564677112123
beaq_15,battery,experiential_avoidance,,pathological,1.0,False,5,0.0155875813215971,0.0155875813215971,,0.5356428773722683
bhs_01,battery,hopelessness,,,-1.0,False,4,0.05614631995558739,2.9438536800444126,,0.11875738179964945
bhs_02,battery,hopelessness,,,1.0,False,4,0.028258400037884712,0.028258400037884712,,-0.486332656622428
bhs_03,battery,hopelessness,,,-1.0,False,4,0.1843928098678589,2.815607190132141,,1.063263866234571
bhs_04,battery,hopelessness,,,1.0,False,4,0.03537623584270477,0.03537623584270477,,-0.8797854548112234
bhs_05,battery,hopelessness,,,-1.0,False,4,0.03763524442911148,2.9623647555708885,,1.2696816146888215
bhs_06,battery,hopelessness,,,-1.0,False,4,0.06883730739355087,2.931162692606449,,-0.027594165836396733
bhs_07,battery,hopelessness,,,1.0,False,4,0.02806340903043747,0.02806340903043747,,-0.35767936327501415
bhs_08,battery,hopelessness,,,-1.0,False,4,0.026659008115530014,2.97334099188447,,0.10579129476510074
bhs_09,battery,hopelessness,,,1.0,False,4,0.06754007935523987,0.06754007935523987,,0.6650637456401065
bhs_10,battery,hopelessness,,,-1.0,False,4,0.03952909633517265,2.9604709036648273,,0.8229275912223153
bhs_11,battery,hopelessness,,,1.0,False,4,0.0674162358045578,0.0674162358045578,,-0.7447143781110599
bhs_12,battery,hopelessness,,,1.0,False,4,0.0127717275172472,0.0127717275172472,,0.46533778948817206
bhs_13,battery,hopelessness,,,-1.0,False,4,0.055887918919324875,2.944112081080675,,-0.2165592654927968
bhs_14,battery,hopelessness,,,1.0,False,4,0.06277096271514893,0.06277096271514893,,-0.17153756219448635
bhs_15,battery,hopelessness,,,-1.0,False,4,0.015606202185153961,2.984393797814846,,-0.5256522600537972
bhs_16,battery,hopelessness,,,1.0,False,4,0.031753476709127426,0.031753476709127426,,-0.08714030480111612
bhs_17,battery,hopelessness,,,1.0,False,4,0.031224803999066353,0.031224803999066353,,1.183095874841774
bhs_18,battery,hopelessness,,,1.0,False,4,0.024307340383529663,0.024307340383529663,,-0.7925157989585214
bhs_19,battery,hopelessness,,,-1.0,False,4,0.02387947030365467,2.9761205296963453,,-0.3487780132471361
bhs_20,battery,hopelessness,,,1.0,False,4,0.021694468334317207,0.021694468334317207,,0.8976582534811168
bisbas_01,battery,motivational_systems,filler,none,-1.0,True,4,0.006773318629711866,2.993226681370288,,1.8233603438367965
bisbas_02,battery,motivational_systems,bis,adaptive,1.0,False,4,0.01588442549109459,0.01588442549109459,,0.29233134766773716
bisbas_03,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,0.0030125516932457685,2.9969874483067542,,-0.6889186436269505
bisbas_04,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,0.006876606959849596,2.9931233930401504,,1.6214582448400336
bisbas_05,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,4,0.003945429343730211,2.99605457065627,,0.3952947952463668
bisbas_06,battery,motivational_systems,filler,none,-1.0,True,4,0.0019870032556355,2.9980129967443645,,0.4799211282794915
bisbas_07,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,0.0035382548812776804,2.9964617451187223,,0.9341994853145938
bisbas_08,battery,motivational_systems,bis,adaptive,-1.0,False,4,0.006389266345649958,2.99361073365435,,0.1639514523617367
bisbas_09,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,0.0039294264279305935,2.9960705735720694,,0.6303560782030186
bisbas_10,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,4,0.008872885257005692,2.9911271147429943,,1.1016307077965828
bisbas_11,battery,motivational_systems,filler,none,-1.0,True,4,0.009954464621841908,2.990045535378158,,1.3809738334374755
bisbas_12,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,0.004229252692312002,2.995770747307688,,1.0634035073018626
bisbas_13,battery,motivational_systems,bis,adaptive,-1.0,False,4,0.02486380562186241,2.9751361943781376,,0.5307414878855048
bisbas_14,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,0.0032357070595026016,2.9967642929404974,,0.792015899718995
bisbas_15,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,4,0.002731050830334425,2.9972689491696656,,0.3221109720613644
bisbas_16,battery,motivational_systems,bis,adaptive,-1.0,False,4,0.009283874183893204,2.990716125816107,,1.9967160273571447
bisbas_17,battery,motivational_systems,filler,none,-1.0,True,4,0.003807846689596772,2.9961921533104032,,0.1975502685853816
bisbas_18,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,0.006136196665465832,2.993863803334534,,1.847917331088818
bisbas_19,battery,motivational_systems,bis,adaptive,-1.0,False,4,0.012597602792084217,2.987402397207916,,0.4934767042324084
bisbas_20,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,4,0.004732303787022829,2.995267696212977,,-0.4252857857880237
bisbas_21,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,0.003084132680669427,2.9969158673193306,,0.14519059673685497
bisbas_22,battery,motivational_systems,bis,adaptive,1.0,False,4,0.0019071517745032907,0.0019071517745032907,,1.2007189626877661
bisbas_23,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,0.004148564767092466,2.9958514352329075,,0.974766630054934
bisbas_24,battery,motivational_systems,bis,adaptive,-1.0,False,4,0.010630087926983833,2.989369912073016,,0.6977880890756805
ptq_01,battery,PTQ,,,1.0,False,5,0.02552870847284794,0.02552870847284794,,1.2978071879568243
ptq_02,battery,PTQ,,,1.0,False,5,0.03700915351510048,0.03700915351510048,,0.1734615136204436
ptq_03,battery,PTQ,,,1.0,False,5,0.011370828375220299,0.011370828375220299,,-0.27306853658805785
ptq_04,battery,PTQ,,,1.0,False,5,0.008570871315896511,0.008570871315896511,,0.6313253752496244
ptq_05,battery,PTQ,,,1.0,False,5,0.010078012011945248,0.010078012011945248,,-0.8973886730762297
ptq_06,battery,PTQ,,,1.0,False,5,0.0050936671905219555,0.0050936671905219555,,-0.5418669882242191
ptq_07,battery,PTQ,,,1.0,False,5,0.012708351947367191,0.012708351947367191,,0.6198203537524669
ptq_08,battery,PTQ,,,1.0,False,5,0.015462332405149937,0.015462332405149937,,-0.3587477424318122
ptq_09,battery,PTQ,,,1.0,False,5,0.007546968292444944,0.007546968292444944,,0.19454408928025768
