id,kind,cat_or_group,subscale,component_class,sign,is_filler,n_anchors,likert_raw,endorsement,willingness,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,7,0.09625798463821411,0.09625798463821411,,0.6648331478895706
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,7,0.2300446480512619,5.769955351948738,,2.972992808335931
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,7,0.13631458580493927,0.13631458580493927,,2.5345127046948157
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,7,0.23623500764369965,0.23623500764369965,,0.9812983224088614
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,7,0.23224744200706482,5.767752557992935,,-0.5643784124095124
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,7,0.25616568326950073,0.25616568326950073,,-1.8007058687555673
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,7,0.1456296741962433,5.854370325803757,,1.1339152887521755
acme_01,battery,ACME,COG,adaptive,-1.0,False,5,0.05221810191869736,3.9477818980813026,,0.7340782089181808
acme_02,battery,ACME,DIS,pathological,-1.0,False,5,0.07075786590576172,3.9292421340942383,,-1.0588814967358204
acme_03,battery,ACME,COG,adaptive,1.0,False,5,0.06856106221675873,0.06856106221675873,,0.45747874941880795
acme_04,battery,ACME,COG,adaptive,1.0,False,5,0.08776720613241196,0.08776720613241196,,-1.4064632038787375
acme_05,battery,ACME,DIS,pathological,-1.0,False,5,0.0914202481508255,3.9085797518491745,,0.18176643904373213
acme_06,battery,ACME,DIS,pathological,-1.0,False,5,0.10308975726366043,3.8969102427363396,,-1.7816892197043481
acme_07,battery,ACME,RES,,1.0,False,5,0.0573258213698864,0.0573258213698864,,0.6898023086480118
acme_08,battery,ACME,RES,,1.0,False,5,0.05517524480819702,0.05517524480819702,,1.0776215768867057
acme_09,battery,ACME,COG,adaptive,1.0,False,5,0.09199747443199158,0.09199747443199158,,0.6202876852142898
acme_10,battery,ACME,DIS,pathological,-1.0,False,5,0.09000778198242188,3.909992218017578,,1.9221298463054133
acme_11,battery,ACME,DIS,pathological,-1.0,False,5,0.06865415722131729,3.9313458427786827,,-0.22540575906910476
acme_12,battery,ACME,RES,,-1.0,False,5,0.06420303136110306,3.935796968638897,,1.33502558229478
acme_13,battery,ACME,RES,,-1.0,False,5,0.0713428482413292,3.928657151758671,,0.5300617322419492
acme_14,battery,ACME,COG,adaptive,-1.0,False,5,0.0885438546538353,3.9114561453461647,,0.5132674500205203
acme_15,battery,ACME,COG,adaptive,1.0,False,5,0.07621397823095322,0.07621397823095322,,-0.5183756768246268
acme_16,battery,ACME,COG,adaptive,1.0,False,5,0.04089563339948654,0.04089563339948654,,1.6179595856442253
acme_17,battery,ACME,RES,,-1.0,False,5,0.04048429802060127,3.9595157019793987,,0.6924887989129256
acme_18,battery,ACME,DIS,pathological,-1.0,False,5,0.07058059424161911,3.929419405758381,,-1.3784680123304218
acme_19,battery,ACME,DIS,pathological,-1.0,False,5,0.03795221075415611,3.962047789245844,,-1.083954525886286
acme_20,battery,ACME,DIS,pathological,-1.0,False,5,0.06512248516082764,3.9348775148391724,,1.8895734839564058
acme_21,battery,ACME,DIS,pathological,-1.0,False,5,0.068874292075634,3.931125707924366,,0.6194194017735128
acme_22,battery,ACME,RES,,-1.0,False,5,0.05770450830459595,3.942295491695404,,0.8405910266376466
acme_23,battery,ACME,RES,,1.0,False,5,0.05131949856877327,0.05131949856877327,,1.4753161696372752
acme_24,battery,ACME,RES,,-1.0,False,5,0.10390696674585342,3.8960930332541466,,-0.3545333250598417
acme_25,battery,ACME,COG,adaptive,1.0,False,5,0.058496300131082535,0.058496300131082535,,0.5769693615865339
acme_26,battery,ACME,DIS,pathological,-1.0,False,5,0.07412774115800858,3.9258722588419914,,-0.5594370108873603
acme_27,battery,ACME,DIS,pathological,-1.0,False,5,0.07745171338319778,3.922548286616802,,-1.933832493597818
acme_28,battery,ACME,RES,,1.0,False,5,0.094784677028656,0.094784677028656,,1.538357623636928
