id,kind,cat_or_group,subscale,component_class,sign,is_filler,behaviour_raw,endorsement,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,-2.0376758575439453,-2.0376758575439453,1.2347896956728643
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,-1.3072338104248047,1.3072338104248047,0.9952803703215909
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,-1.7108287811279297,-1.7108287811279297,0.9586618838761898
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,-2.0265541076660156,-2.0265541076660156,0.9146496345586841
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,-1.4099502563476562,1.4099502563476562,0.06976395177260208
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,-1.5856914520263672,-1.5856914520263672,-1.036063834645058
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,-2.033588409423828,2.033588409423828,0.9667284531202995
acme_01,battery,ACME,COG,adaptive,-1.0,False,-1.631723403930664,1.631723403930664,-0.4502583920565888
acme_02,battery,ACME,DIS,pathological,-1.0,False,-1.5705337524414062,1.5705337524414062,-0.7766977925161571
acme_03,battery,ACME,COG,adaptive,1.0,False,-1.7677440643310547,-1.7677440643310547,-1.3599219366630377
acme_04,battery,ACME,COG,adaptive,1.0,False,-2.3740310668945312,-2.3740310668945312,-0.7896296855090257
acme_05,battery,ACME,DIS,pathological,-1.0,False,-2.0340023040771484,2.0340023040771484,-2.175634107080585
acme_06,battery,ACME,DIS,pathological,-1.0,False,-2.2387161254882812,2.2387161254882812,-3.1989269188288674
acme_07,battery,ACME,RES,,1.0,False,-1.2398319244384766,-1.2398319244384766,1.5343686031452044
acme_08,battery,ACME,RES,,1.0,False,-0.8035926818847656,-0.8035926818847656,0.6450623466462604
acme_09,battery,ACME,COG,adaptive,1.0,False,-1.4920406341552734,-1.4920406341552734,0.977011152298572
acme_10,battery,ACME,DIS,pathological,-1.0,False,-1.9420032501220703,1.9420032501220703,0.2827955805416449
acme_11,battery,ACME,DIS,pathological,-1.0,False,-2.2840194702148438,2.2840194702148438,-0.09629890527920981
acme_12,battery,ACME,RES,,-1.0,False,-2.2911415100097656,2.2911415100097656,-0.3952983835597248
acme_13,battery,ACME,RES,,-1.0,False,-2.026782989501953,2.026782989501953,-0.20402849445999038
acme_14,battery,ACME,COG,adaptive,-1.0,False,-1.3908519744873047,1.3908519744873047,-0.2218639456062359
acme_15,battery,ACME,COG,adaptive,1.0,False,-2.166715621948242,-2.166715621948242,-1.889201334691272
acme_16,battery,ACME,COG,adaptive,1.0,False,-1.73443603515625,-1.73443603515625,-0.8356360595912014
acme_17,battery,ACME,RES,,-1.0,False,-2.2231082916259766,2.2231082916259766,-0.7541002363341249
acme_18,battery,ACME,DIS,pathological,-1.0,False,-2.5717430114746094,2.5717430114746094,-2.1790179772922196
acme_19,battery,ACME,DIS,pathological,-1.0,False,-2.5398693084716797,2.5398693084716797,-0.9039341842322632
acme_20,battery,ACME,DIS,pathological,-1.0,False,-1.624502182006836,1.624502182006836,1.1603089118315995
acme_21,battery,ACME,DIS,pathological,-1.0,False,-2.0359268188476562,2.0359268188476562,-0.6422547262832503
acme_22,battery,ACME,RES,,-1.0,False,-1.8850269317626953,1.8850269317626953,-0.3209509948261986
acme_23,battery,ACME,RES,,1.0,False,-2.257406234741211,-2.257406234741211,0.35702675907786574
acme_24,battery,ACME,RES,,-1.0,False,-1.9418487548828125,1.9418487548828125,-1.0248758267276932
acme_25,battery,ACME,COG,adaptive,1.0,False,-1.8120574951171875,-1.8120574951171875,-0.46629238808710394
acme_26,battery,ACME,DIS,pathological,-1.0,False,-2.8031845092773438,2.8031845092773438,-1.1187899559057826
