id,kind,cat_or_group,subscale,component_class,sign,is_filler,behaviour_raw,endorsement,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,-1.9438600540161133,-1.9438600540161133,-0.5908541677033743
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,-0.829350471496582,0.829350471496582,2.4010286322685825
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,-1.0156135559082031,-1.0156135559082031,-1.7164043216216083
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,-1.0881271362304688,-1.0881271362304688,-1.243695494268132
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,-0.918670654296875,0.918670654296875,-0.8375852266609414
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,-2.039271354675293,-2.039271354675293,-1.9692744560579576
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,-0.9832582473754883,0.9832582473754883,0.39626319645991936
acme_01,battery,ACME,COG,adaptive,-1.0,False,-0.8492555618286133,0.8492555618286133,-1.325584531007853
acme_02,battery,ACME,DIS,pathological,-1.0,False,-1.8737192153930664,1.8737192153930664,-0.03590110850965633
acme_03,battery,ACME,COG,adaptive,1.0,False,-1.28485107421875,-1.28485107421875,-0.7306154110602998
acme_04,battery,ACME,COG,adaptive,1.0,False,-1.1505756378173828,-1.1505756378173828,-0.7770434686562413
acme_05,battery,ACME,DIS,pathological,-1.0,False,-2.133225440979004,2.133225440979004,-0.7522998119108664
acme_06,battery,ACME,DIS,pathological,-1.0,False,-1.6307439804077148,1.6307439804077148,-0.7037310208049656
acme_07,battery,ACME,RES,,1.0,False,-0.7529048919677734,-0.7529048919677734,-1.534851257305875
acme_08,battery,ACME,RES,,1.0,False,-0.9424543380737305,-0.9424543380737305,-0.8343156021317744
acme_09,battery,ACME,COG,adaptive,1.0,False,-0.1560049057006836,-0.1560049057006836,-0.5472503527687247
acme_10,battery,ACME,DIS,pathological,-1.0,False,-1.3798742294311523,1.3798742294311523,0.30815200731133097
acme_11,battery,ACME,DIS,pathological,-1.0,False,-1.9091520309448242,1.9091520309448242,0.23074360069369027
acme_12,battery,ACME,RES,,-1.0,False,-0.7712411880493164,0.7712411880493164,-0.4487222229711687
acme_13,battery,ACME,RES,,-1.0,False,-0.9620962142944336,0.9620962142944336,-0.04183255201080893
acme_14,battery,ACME,COG,adaptive,-1.0,False,-1.4082250595092773,1.4082250595092773,-1.1047272668167771
acme_15,battery,ACME,COG,adaptive,1.0,False,-1.3905057907104492,-1.3905057907104492,-1.5424838749945575
acme_16,battery,ACME,COG,adaptive,1.0,False,-0.8183498382568359,-0.8183498382568359,-0.19388009068052559
acme_17,battery,ACME,RES,,-1.0,False,-1.0402565002441406,1.0402565002441406,0.2886660981793254
acme_18,battery,ACME,DIS,pathological,-1.0,False,-1.7912464141845703,1.7912464141845703,-0.8027976457159438
acme_19,battery,ACME,DIS,pathological,-1.0,False,-1.837611198425293,1.837611198425293,-1.2179428871078573
acme_20,battery,ACME,DIS,pathological,-1.0,False,-0.5540628433227539,0.5540628433227539,-0.2793928247412589
acme_21,battery,ACME,DIS,pathological,-1.0,False,-1.3258514404296875,1.3258514404296875,-0.6331148013323005
acme_22,battery,ACME,RES,,-1.0,False,-0.6319303512573242,0.6319303512573242,-0.7923933060556054
acme_23,battery,ACME,RES,,1.0,False,-1.2153434753417969,-1.2153434753417969,-1.1297284746515621
acme_24,battery,ACME,RES,,-1.0,False,-1.5515241622924805,1.5515241622924805,-1.172461359656944
acme_25,battery,ACME,COG,adaptive,1.0,False,-0.8450555801391602,-0.8450555801391602,-0.4883362189805869
acme_26,battery,ACME,DIS,pathological,-1.0,False,-1.9921884536743164,1.9921884536743164,-0.6530504275327773
acme_27,battery,ACME,DIS,pathological,-1.0,False,-1.3073949813842773,1.3073949813842773,0.63467353087098
acme_28,battery,ACME,RES,,1.0,False,-1.6431283950805664,-1.6431283950805664,-0.18520421202995063
acme_29,battery,ACME,RES,,1.0,False,-0.03951740264892578,-0.03951740264892578,-1.512896362918322
acme_30,battery,ACME,RES,,1.0,False,-0.9813728332519531,-0.9813728332519531,-1.264090647819736
acme_31,battery,ACME,COG,adaptive,-1.0,False,-0.39954566955566406,0.39954566955566406,-0.9060560734964487
acme_32,battery,ACME,RES,,-1.0,False,-0.8524818420410156,0.8524818420410156,0.44340315899651356
acme_33,battery,ACME,COG,adaptive,1.0,False,-1.2399511337280273,-1.2399511337280273,-0.13259477609450654
acme_34,battery,ACME,COG,adaptive,1.0,False,-1.1455554962158203,-1.1455554962158203,0.47230584118316843
acme_35,battery,ACME,COG,adaptive,-1.0,False,-1.2655096054077148,1.2655096054077148,-2.0162556736172452
acme_36,battery,ACME,DIS,pathological,-1.0,False,-0.9340553283691406,0.9340553283691406,-0.26950506472869695
beaq_01,battery,experiential_avoidance,,pathological,1.0,False,-1.4993371963500977,-1.4993371963500977,-0.30905775629455223
beaq_02,battery,experiential_avoidance,,pathological,-1.0,False,-0.8952693939208984,0.8952693939208984,-0.5144311332287315
beaq_03,battery,experiential_avoidance,,pathological,-1.0,False,-0.9310731887817383,0.9310731887817383,0.6251351464007515
beaq_04,battery,experiential_avoidance,,pathological,1.0,False,-0.38655567169189453,-0.38655567169189453,-2.200073987415423
beaq_05,battery,experiential_avoidance,,pathological,1.0,False,-0.6425800323486328,-0.6425800323486328,1.7118249867089093
beaq_06,battery,experiential_avoidance,,pathological,-1.0,False,-0.8809146881103516,0.8809146881103516,-0.4544044839236796
beaq_07,battery,experiential_avoidance,,pathological,-1.0,False,-1.0404081344604492,1.0404081344604492,-0.1362144211776659
beaq_08,battery,experiential_avoidance,,pathological,-1.0,False,-1.0519905090332031,1.0519905090332031,1.4638653689739314
beaq_09,battery,experiential_avoidance,,pathological,1.0,False,-0.5463895797729492,-0.5463895797729492,-1.1183055725387052
beaq_10,battery,experiential_avoidance,,pathological,-1.0,False,-1.3257837295532227,1.3257837295532227,1.2713801092650194
beaq_11,battery,experiential_avoidance,,pathological,-1.0,False,-1.2421293258666992,1.2421293258666992,-0.6640801295692795
beaq_12,battery,experiential_avoidance,,pathological,1.0,False,-0.7081794738769531,-0.7081794738769531,-0.2916089986203412
beaq_13,battery,experiential_avoidance,,pathological,-1.0,False,-0.43020057678222656,0.43020057678222656,-1.3159137654108024
beaq_14,battery,experiential_avoidance,,pathological,1.0,False,-0.6354570388793945,-0.6354570388793945,0.7741395867698018
