cat_or_group,base,dark,clinical-depression,clinical-internalizing
ACME,0.2806716850452433,-0.3832372057923924,-0.08461122802560016,-0.0690115384957677
GAD-7,0.8886818998065243,0.5369600311472724,1.081290050156875,0.971456591715037
PHQ-9,0.6610354677796728,0.21726733437713527,0.8760763458239249,0.6673531612030613
PTQ,1.0716964247137228,0.7613470949416765,1.129407040181747,1.1759839888750716
SD3,0.2557622905291323,0.6937768315192128,0.3328444933702531,0.3952728681359068
emotion_dysregulation,0.12240507090051875,-0.3808265913131321,0.06907846198490923,0.029574173376684207
experiential_avoidance,-0.18734808162107378,-0.3750805720971328,-0.14246187791795817,-0.10442502641235342
goal_adjustment,0.9347622399468694,0.5351478254901714,0.6840053794756658,0.6109987777981013
hopelessness,-0.3857991750979088,-0.6170637115155302,-0.10804898399337999,-0.1609980155565242
intolerance_uncertainty,-0.041027980728785794,-0.3819088803997421,-0.12975941637339994,-0.06935175502727393
machiavellianism,-0.23636881768881177,0.006716656752613003,-0.2186852688276459,-0.19219050375112615
motivational_systems,-1.134316728198037,-0.9824956850239288,-1.0589957107744856,-1.1093804108575884
narcissism,0.1720872414163233,0.4405375567938962,0.0821964484308709,0.14191673436729255
negative_self_schema,-0.600080855981302,-0.7476870191671805,-0.32959505964765606,-0.3897345130004829
psychopathy,-0.11334539378522106,0.21416159383255143,-0.06529069862225739,-0.07453158758211414
rumination,0.25038007528909245,-0.19862158558000617,0.07847730024614738,0.11086411767892802
worry,0.11511153522954112,-0.3230904865452094,0.1202101982849415,0.05585135494698183
