cat_or_group,base,dark,clinical-depression,clinical-internalizing
ACME,0.6362905455094279,-0.23095327182011774,0.47933239825812407,0.7234499458237056
GAD-7,-0.06405384676481121,-2.047281772612684,-1.7058031010145842,-1.499353452098054
PHQ-9,-0.01676484953721702,-2.077532735346004,-1.4880175194201475,-1.2957642984637812
PTQ,1.9280001151518917,2.468029450449816,3.0199149938064465,2.981182615804128
SD3,0.06992110210904062,0.642758472601592,-0.22747482159886556,-0.25286467424635306
emotion_dysregulation,0.28690606291132276,-0.18478652486390354,0.5677912454027303,0.5427054574641923
experiential_avoidance,0.1943878227203031,0.4221181458507512,0.7540679249497058,0.6355240456641472
goal_adjustment,0.9154205551608602,0.3424986754987379,0.0013084457413889514,0.1015889146758713
hopelessness,-0.7333658664630147,-0.8255143715234337,-0.5725352319961055,-0.7920793668209383
intolerance_uncertainty,0.11737212200070966,-0.1654402293771771,0.31768253078262787,0.3208130026212717
machiavellianism,-0.24881984413195435,0.4882945088005819,0.11489782847355125,-0.019026285934321034
motivational_systems,-0.9197678852843535,-1.1835924222770995,-1.3199738850086506,-1.2868358679359686
narcissism,0.3516354722814628,0.7564272018919428,0.07521153505306065,0.20389206701289242
negative_self_schema,-0.7273859909052703,-0.6604304734140669,-0.18243025843544025,-0.48420460182402814
psychopathy,-0.2640113244977184,-0.005079339123341839,-0.1986865479293401,-0.21011409078221566
rumination,-0.21265276305723857,-0.8105962333035744,-0.23693707033504793,-0.2266382045505095
worry,0.262193443448646,-0.35468893786533484,0.4470591127490408,0.4113254032710224
