id,kind,cat_or_group,subscale,component_class,sign,is_filler,n_anchors,likert_raw,likert_endorse,binary_raw,binary_endorse,willingness,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,7,4.979595363815892,4.979595363815892,12.24979305267334,12.24979305267334,,1.2347896956728643
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,7,4.971695960600478,1.0283040393995222,25.687175750732422,-25.687175750732422,,0.9952803703215909
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,7,4.993520262354037,4.993520262354037,25.62343406677246,25.62343406677246,,0.9586618838761898
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,7,4.945927038743512,4.945927038743512,4.3748016357421875,4.3748016357421875,,0.9146496345586841
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,7,4.943003666165835,1.0569963338341646,2.624958038330078,-2.624958038330078,,0.06976395177260208
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,7,4.919543547835541,4.919543547835541,3.9999570846557617,3.9999570846557617,,-1.036063834645058
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,7,4.951508513579677,1.048491486420323,21.374380111694336,-21.374380111694336,,0.9667284531202995
acme_01,battery,ACME,COG,adaptive,-1.0,False,5,2.7167120501700066,1.2832879498299934,14.124926567077637,-14.124926567077637,,-0.4502583920565888
acme_02,battery,ACME,DIS,pathological,-1.0,False,5,0.934827557562313,3.065172442437687,-1.6253070831298828,1.6253070831298828,,-0.7766977925161571
acme_03,battery,ACME,COG,adaptive,1.0,False,5,3.375579675296077,3.375579675296077,8.999767303466797,8.999767303466797,,-1.3599219366630377
acme_04,battery,ACME,COG,adaptive,1.0,False,5,2.605414280154827,2.605414280154827,5.24997615814209,5.24997615814209,,-0.7896296855090257
acme_05,battery,ACME,DIS,pathological,-1.0,False,5,1.6293286934795042,2.370671306520496,1.122807502746582,-1.122807502746582,,-2.175634107080585
acme_06,battery,ACME,DIS,pathological,-1.0,False,5,1.2294308525829036,2.7705691474170964,-1.0015106201171875,1.0015106201171875,,-3.1989269188288674
acme_07,battery,ACME,RES,,1.0,False,5,3.8213022639649457,3.8213022639649457,30.70627784729004,30.70627784729004,,1.5343686031452044
acme_08,battery,ACME,RES,,1.0,False,5,3.7298107009305674,3.7298107009305674,29.09446907043457,29.09446907043457,,0.6450623466462604
acme_09,battery,ACME,COG,adaptive,1.0,False,5,3.468139268390763,3.468139268390763,22.247072219848633,22.247072219848633,,0.977011152298572
acme_10,battery,ACME,DIS,pathological,-1.0,False,5,2.699831949663508,1.300168050336492,6.999957084655762,-6.999957084655762,,0.2827955805416449
acme_11,battery,ACME,DIS,pathological,-1.0,False,5,0.9803403596680922,3.019659640331908,1.3742856979370117,-1.3742856979370117,,-0.09629890527920981
acme_12,battery,ACME,RES,,-1.0,False,5,2.3706622642968953,1.6293377357031047,11.374974250793457,-11.374974250793457,,-0.3952983835597248
acme_13,battery,ACME,RES,,-1.0,False,5,2.3099793640390187,1.6900206359609813,6.124936103820801,-6.124936103820801,,-0.20402849445999038
acme_14,battery,ACME,COG,adaptive,-1.0,False,5,2.8743693493080595,1.1256306506919405,14.87497329711914,-14.87497329711914,,-0.2218639456062359
acme_15,battery,ACME,COG,adaptive,1.0,False,5,3.2702967726696657,3.2702967726696657,8.874616622924805,8.874616622924805,,-1.889201334691272
acme_16,battery,ACME,COG,adaptive,1.0,False,5,3.0560315082082408,3.0560315082082408,7.6249542236328125,7.6249542236328125,,-0.8356360595912014
acme_17,battery,ACME,RES,,-1.0,False,5,1.3383564301431568,2.6616435698568432,1.6248712539672852,-1.6248712539672852,,-0.7541002363341249
acme_18,battery,ACME,DIS,pathological,-1.0,False,5,1.751286430224485,2.248713569775515,0.7486724853515625,-0.7486724853515625,,-2.1790179772922196
acme_19,battery,ACME,DIS,pathological,-1.0,False,5,1.2832814921923597,2.7167185078076406,0.2495098114013672,-0.2495098114013672,,-0.9039341842322632
acme_20,battery,ACME,DIS,pathological,-1.0,False,5,2.972670416289879,1.027329583710121,23.999296188354492,-23.999296188354492,,1.1603089118315995
acme_21,battery,ACME,DIS,pathological,-1.0,False,5,2.4898339783548353,1.5101660216451647,8.999922752380371,-8.999922752380371,,-0.6422547262832503
acme_22,battery,ACME,RES,,-1.0,False,5,2.5481207539865554,1.4518792460134446,9.4999361038208,-9.4999361038208,,-0.3209509948261986
acme_23,battery,ACME,RES,,1.0,False,5,3.6171928874575388,3.6171928874575388,23.369644165039062,23.369644165039062,,0.35702675907786574
acme_24,battery,ACME,RES,,-1.0,False,5,3.1517232117963485,0.8482767882036515,15.124948501586914,-15.124948501586914,,-1.0248758267276932
acme_25,battery,ACME,COG,adaptive,1.0,False,5,3.2702961548109184,3.2702961548109184,14.124732971191406,14.124732971191406,,-0.46629238808710394
acme_26,battery,ACME,DIS,pathological,-1.0,False,5,0.7451744836549032,3.2548255163450968,-1.500722885131836,1.500722885131836,,-1.1187899559057826
acme_27,battery,ACME,DIS,pathological,-1.0,False,5,0.4768187557782261,3.523181244221774,-2.3751792907714844,2.3751792907714844,,0.03680903168856231
acme_28,battery,ACME,RES,,1.0,False,5,3.678567386563008,3.678567386563008,26.1144962310791,26.1144962310791,,0.39345610325464553
acme_29,battery,ACME,RES,,1.0,False,5,3.7288776122302285,3.7288776122302285,29.114242553710938,29.114242553710938,,0.25236874226021566
acme_30,battery,ACME,RES,,1.0,False,5,3.82127404425758,3.82127404425758,27.747669219970703,27.747669219970703,,-0.21594222695549625
acme_31,battery,ACME,COG,adaptive,-1.0,False,5,2.430649588942929,1.569350411057071,11.624855041503906,-11.624855041503906,,0.0751049600000675
acme_32,battery,ACME,RES,,-1.0,False,5,1.842523299910555,2.157476700089445,5.499648094177246,-5.499648094177246,,0.4019595664351874
acme_33,battery,ACME,COG,adaptive,1.0,False,5,3.3419329021305595,3.3419329021305595,10.374902725219727,10.374902725219727,,-0.8294214895267946
acme_34,battery,ACME,COG,adaptive,1.0,False,5,3.4386482324051744,3.4386482324051744,19.499753952026367,19.499753952026367,,0.7717606903410814
acme_35,battery,ACME,COG,adaptive,-1.0,False,5,3.0651729614300596,0.9348270385699404,11.999988555908203,-11.999988555908203,,-0.23629957634591925
acme_36,battery,ACME,DIS,pathological,-1.0,False,5,1.9999935480365831,2.000006451963417,0.49984073638916016,-0.49984073638916016,,-1.0359750156825411
beaq_01,battery,experiential_avoidance,,pathological,1.0,False,5,0.9803406189590478,0.9803406189590478,-0.2500343322753906,-0.2500343322753906,,-0.7181261864038748
beaq_02,battery,experiential_avoidance,,pathological,-1.0,False,5,3.375578207386295,0.6244217926137048,27.245119094848633,-27.245119094848633,,0.3121163452024298
beaq_03,battery,experiential_avoidance,,pathological,-1.0,False,5,3.375578520758185,0.624421479241815,20.374780654907227,-20.374780654907227,,1.5840975845423313
beaq_04,battery,experiential_avoidance,,pathological,1.0,False,5,2.489827273807623,2.489827273807623,16.249494552612305,16.249494552612305,,-0.5289484847328882
beaq_05,battery,experiential_avoidance,,pathological,1.0,False,5,3.1091965351866206,3.1091965351866206,15.374805450439453,15.374805450439453,,1.416195867148105
beaq_06,battery,experiential_avoidance,,pathological,-1.0,False,5,3.581698495699054,0.4183015043009459,21.874597549438477,-21.874597549438477,,0.6612254982207011
beaq_07,battery,experiential_avoidance,,pathological,-1.0,False,5,3.438653366362807,0.5613466336371928,21.874629974365234,-21.874629974365234,,0.11739723502593336
beaq_08,battery,experiential_avoidance,,pathological,-1.0,False,5,3.618600687773926,0.3813993122260739,30.972694396972656,-30.972694396972656,,1.3133367956657265
beaq_09,battery,experiential_avoidance,,pathological,1.0,False,5,2.606072035436692,2.606072035436692,17.874629974365234,17.874629974365234,,-0.3471583480125964
beaq_10,battery,experiential_avoidance,,pathological,-1.0,False,5,3.5732372717132495,0.42676272828675055,27.081750869750977,-27.081750869750977,,1.2902817518883558
beaq_11,battery,experiential_avoidance,,pathological,-1.0,False,5,3.19274627656533,0.8072537234346702,22.7458553314209,-22.7458553314209,,0.028520850275925547
beaq_12,battery,experiential_avoidance,,pathological,1.0,False,5,3.5916977585054024,3.5916977585054024,20.248584747314453,20.248584747314453,,0.8914496730586265
beaq_13,battery,experiential_avoidance,,pathological,-1.0,False,5,2.77056716209873,1.2294328379012698,11.124977111816406,-11.124977111816406,,-0.7696026679316015
beaq_14,battery,experiential_avoidance,,pathological,1.0,False,5,3.1517213621620996,3.1517213621620996,11.124984741210938,11.124984741210938,,1.0255564677112123
beaq_15,battery,experiential_avoidance,,pathological,1.0,False,5,1.6900157896040724,1.6900157896040724,3.499948501586914,3.499948501586914,,0.5356428773722683
bhs_01,battery,hopelessness,,,-1.0,False,4,2.80885134087422,0.19114865912577983,29.215526580810547,-29.215526580810547,,0.11875738179964945
bhs_02,battery,hopelessness,,,1.0,False,4,1.7324836727733328,1.7324836727733328,-0.12555885314941406,-0.12555885314941406,,-0.486332656622428
bhs_03,battery,hopelessness,,,-1.0,False,4,2.744701874720444,0.25529812527955587,32.119388580322266,-32.119388580322266,,1.063263866234571
bhs_04,battery,hopelessness,,,1.0,False,4,2.077923726868087,2.077923726868087,13.1249418258667,13.1249418258667,,-0.8797854548112234
bhs_05,battery,hopelessness,,,-1.0,False,4,2.697363151946141,0.3026368480538588,18.1241455078125,-18.1241455078125,,1.2696816146888215
bhs_06,battery,hopelessness,,,-1.0,False,4,2.7724241429028504,0.22757585709714956,26.618106842041016,-26.618106842041016,,-0.027594165836396733
bhs_07,battery,hopelessness,,,1.0,False,4,1.3134673886436266,1.3134673886436266,3.9991321563720703,3.9991321563720703,,-0.35767936327501415
bhs_08,battery,hopelessness,,,-1.0,False,4,2.2295001713521256,0.7704998286478744,8.624992370605469,-8.624992370605469,,0.10579129476510074
bhs_09,battery,hopelessness,,,1.0,False,4,1.5936242496693847,1.5936242496693847,6.624960899353027,6.624960899353027,,0.6650637456401065
bhs_10,battery,hopelessness,,,-1.0,False,4,2.865956189046151,0.1340438109538491,30.11296844482422,-30.11296844482422,,0.8229275912223153
bhs_11,battery,hopelessness,,,1.0,False,4,1.3597839286533366,1.3597839286533366,3.7499570846557617,3.7499570846557617,,-0.7447143781110599
bhs_12,battery,hopelessness,,,1.0,False,4,2.117352681556841,2.117352681556841,7.2499237060546875,7.2499237060546875,,0.46533778948817206
bhs_13,battery,hopelessness,,,-1.0,False,4,2.452719877121038,0.5472801228789619,14.249876022338867,-14.249876022338867,,-0.2165592654927968
bhs_14,battery,hopelessness,,,1.0,False,4,1.822983120158193,1.822983120158193,2.999849319458008,2.999849319458008,,-0.17153756219448635
bhs_15,battery,hopelessness,,,-1.0,False,4,2.7852229374139705,0.21477706258602947,27.451129913330078,-27.451129913330078,,-0.5256522600537972
bhs_16,battery,hopelessness,,,1.0,False,4,1.4531384142462016,1.4531384142462016,3.1249303817749023,3.1249303817749023,,-0.08714030480111612
bhs_17,battery,hopelessness,,,1.0,False,4,1.0037682957657519,1.0037682957657519,2.74981689453125,2.74981689453125,,1.183095874841774
bhs_18,battery,hopelessness,,,1.0,False,4,1.8673665113093287,1.8673665113093287,8.499950408935547,8.499950408935547,,-0.7925157989585214
bhs_19,battery,hopelessness,,,-1.0,False,4,2.6616125589738266,0.33838744102617335,28.10028648376465,-28.10028648376465,,-0.3487780132471361
bhs_20,battery,hopelessness,,,1.0,False,4,1.5936271454613606,1.5936271454613606,0.6244792938232422,0.6244792938232422,,0.8976582534811168
bisbas_01,battery,motivational_systems,filler,none,-1.0,True,4,2.2198176485306345,0.7801823514693655,9.374988555908203,-9.374988555908203,,1.8233603438367965
bisbas_02,battery,motivational_systems,bis,adaptive,1.0,False,4,2.1153879146910475,2.1153879146910475,7.749991416931152,7.749991416931152,,0.29233134766773716
bisbas_03,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,2.398650382968698,0.601349617031302,22.24669075012207,-22.24669075012207,,-0.6889186436269505
bisbas_04,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,2.1980273901624194,0.8019726098375806,29.854148864746094,-29.854148864746094,,1.6214582448400336
bisbas_05,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,4,2.158408028982852,0.8415919710171482,30.240055084228516,-30.240055084228516,,0.3952947952463668
bisbas_06,battery,motivational_systems,filler,none,-1.0,True,4,2.2657752704447036,0.7342247295552964,30.590072631835938,-30.590072631835938,,0.4799211282794915
bisbas_07,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,2.214797776573528,0.785202223426472,28.43555450439453,-28.43555450439453,,0.9341994853145938
bisbas_08,battery,motivational_systems,bis,adaptive,-1.0,False,4,2.3939338507847583,0.6060661492152417,21.873865127563477,-21.873865127563477,,0.1639514523617367
bisbas_09,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,2.2637548171414794,0.7362451828585206,18.374868392944336,-18.374868392944336,,0.6303560782030186
bisbas_10,battery,motivational_systems,bas_fun_seeking,pathological,-1.0,False,4,2.2686909727485123,0.7313090272514877,27.719560623168945,-27.719560623168945,,1.1016307077965828
bisbas_11,battery,motivational_systems,filler,none,-1.0,True,4,2.295139018016437,0.704860981983563,22.24969482421875,-22.24969482421875,,1.3809738334374755
bisbas_12,battery,motivational_systems,bas_drive,conditional,-1.0,False,4,2.295027972076942,0.7049720279230578,22.999361038208008,-22.999361038208008,,1.0634035073018626
bisbas_13,battery,motivational_systems,bis,adaptive,-1.0,False,4,2.3019077388089917,0.6980922611910083,24.62458038330078,-24.62458038330078,,0.5307414878855048
bisbas_14,battery,motivational_systems,bas_reward_responsiveness,conditional,-1.0,False,4,2.243663310915731,0.7563366890842689,29.450428009033203,-29.450428009033203,,0.792015899718995
